Carreras,Matriculados,Mujeres,Hombres,Diferencia,Matriculados_por,Mujer_por,Hombre_por,Ramas
Derecho,113150,62969,50181,12788,9,56,44,"NEGOCIOS, ADMINISTRACIÓN Y DERECHO"
Psicología,70227,51989,18238,33751,5,74,26,"CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN"
Educación primaria,73746,49284,24462,24822,6,67,33,EDUCACIÓN
Administración y empresa,105951,49228,56723,-7495,8,46,54,"NEGOCIOS, ADMINISTRACIÓN Y DERECHO"
Educación infantil,44779,41607,3172,38435,3,93,7,EDUCACIÓN
Enfermería,45812,36790,9022,27768,4,80,20,SALUD Y SERVICIOS SOCIALES
Medicina,43257,28700,14557,14143,3,66,34,SALUD Y SERVICIOS SOCIALES
Trabajo social,21958,17920,4038,13882,2,82,18,SALUD Y SERVICIOS SOCIALES
Turismo,25506,17071,8435,8636,2,67,33,SERVICIOS
Educación social,20329,16355,3974,12381,2,80,20,EDUCACIÓN
Ciencias del trabajo,23235,14303,8932,5371,2,62,38,"NEGOCIOS, ADMINISTRACIÓN Y DERECHO"
Lengua inglesa,19057,13930,5127,8803,1,73,27,ARTES Y HUMANIDADES
Farmacia,18261,12722,5539,7183,1,70,30,SALUD Y SERVICIOS SOCIALES
Periodismo,19096,11735,7361,4374,1,61,39,"CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN"
Arquitectura,22709,11129,11580,-451,2,49,51,"INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN"
Biología,17745,10983,6762,4221,1,62,38,CIENCIAS
Historia del arte,15531,10650,4881,5769,1,69,31,ARTES Y HUMANIDADES
Pedagogía,12493,10409,2084,8325,1,83,17,EDUCACIÓN
Fisioterapia,21297,10209,11088,-879,2,48,52,SALUD Y SERVICIOS SOCIALES
Lenguas y dialectos españoles,14164,9987,4177,5810,1,71,29,ARTES Y HUMANIDADES
Economía,25406,9766,15640,-5874,2,38,62,"CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN"
Publicidad y relaciones públicas,13490,9536,3954,5582,1,71,29,"NEGOCIOS, ADMINISTRACIÓN Y DERECHO"
"Audiovisual, imagen y multimedia",18358,9123,9235,-112,1,50,50,ARTES Y HUMANIDADES
Traducción e interpretación,10819,8700,2119,6581,1,80,20,ARTES Y HUMANIDADES
Química,15520,8209,7311,898,1,53,47,CIENCIAS
Historia,22853,7387,15466,-8079,2,32,68,ARTES Y HUMANIDADES
Bellas artes,10281,7060,3221,3839,1,69,31,ARTES Y HUMANIDADES
Veterinaria,9588,6977,2611,4366,1,73,27,"AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA"
Criminología,11339,6839,4500,2339,1,60,40,"CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN"
Marketing,11776,6131,5645,486,1,52,48,"NEGOCIOS, ADMINISTRACIÓN Y DERECHO"
Odontología,9846,5907,3939,1968,1,60,40,SALUD Y SERVICIOS SOCIALES
Finanzas y contabilidad,11938,5898,6040,-142,1,49,51,"NEGOCIOS, ADMINISTRACIÓN Y DERECHO"
Ciencias ambientales,11232,5325,5907,-582,1,47,53,CIENCIAS
Ingeniería química industrial,10910,5037,5873,-836,1,46,54,"INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN"
Informática,39822,4742,35080,-30338,3,12,88,INFORMÁTICA
Ingeniería en tecnologías industriales,18870,4415,14455,-10040,1,23,77,"INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN"
Nutrición humana y dietética,6027,4406,1621,2785,0,73,27,SALUD Y SERVICIOS SOCIALES
Política y gestión pública,10161,4007,6154,-2147,1,39,61,"CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN"
Lenguas modernas y aplicadas,5056,3959,1097,2862,0,78,22,ARTES Y HUMANIDADES
Matemáticas,10474,3927,6547,-2620,1,37,63,CIENCIAS
Diseño,5006,3704,1302,2402,0,74,26,ARTES Y HUMANIDADES
Sociología,6923,3678,3245,433,1,53,47,"CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN"
Biotecnología,6094,3659,2435,1224,0,60,40,CIENCIAS
Actividad física y del deporte,19349,3471,15878,-12407,1,18,82,SERVICIOS
Ciencia y tecnología de los alimentos,4961,3360,1601,1759,0,68,32,"INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN"
Ingeniería civil,11330,3260,8070,-4810,1,29,71,"INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN"
